Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Delay_from_due_date,Num_Credit_Inquiries,Credit_Utilization_Ratio,Total_EMI_per_month
1824.8433333333328,3,0.492,3,3,2022.0,35.03040185583525,49.57494921489417
1824.8433333333328,3,0.492,3,3,4.0,33.053114497012245,49.57494921489417
1824.8433333333328,3,0.492,3,-1,4.0,33.811894118574465,49.57494921489417
,3,0.492,3,4,4.0,32.430559017296765,49.57494921489417
3037.986666666666,2,0.492,6,3,5.0,25.92682170377555,18.816214573128885
3037.986666666666,2,0.492,6,3,5.0,30.11660045002501,18.816214573128885
3037.986666666666,2,0.492,6,3,5.0,30.996423739085607,18.816214573128885
3037.986666666666,2,0.492,6,3,5.0,33.875167221549795,18.816214573128885
,1,0.615,8,8,3.0,35.22970733005963,246.9923194537421
12187.22,1,0.615,8,6,3.0,35.68583594909283,246.9923194537421
12187.22,1,0.615,8,8,5.0,31.81984543225805,246.9923194537421
12187.22,1,0.615,8,8,5.0,33.707168865856374,246.9923194537421
2612.4908333333333,2,0.615,4,5,4.0,39.37721939916439,16.415451659824875
2612.4908333333333,2,0.615,4,5,4.0,36.28047544534424,16.415451659824875
2612.4908333333333,2,0.615,4,5,4.0,36.82446782218685,16.415451659824875
2612.4908333333333,2,0.615,4,6,7.0,35.5792649548332,16.415451659824875
2853.3091666666664,7,0.615,5,5,4.0,34.72984235509026,0.0
2853.3091666666664,7,0.615,5,5,5.0,31.65235104376109,0.0
2853.3091666666664,7,0.615,5,5,5.0,36.42483452800961,0.0
2853.3091666666664,7,0.615,5,5,5.0,29.56612273444377,0.0
5988.705000000001,4,0.615,8,8,4.0,38.13542413744779,0.0
5988.705000000001,4,0.615,8,9,4.0,38.22647526827564,0.0
5988.705000000001,4,0.615,8,8,4.0,31.291849451929654,0.0
5988.705000000001,4,0.615,8,8,1552.0,29.150995190084487,0.0
10469.207759388815,0,0.123,8,0,4.0,28.401057600525927,911.2201793459374
10469.207759388815,0,0.123,8,0,4.0,31.025571099037258,911.2201793459374
10469.207759388815,0,0.123,8,0,4.0,26.06663998426569,911.2201793459374
,0,0.123,8,0,4.0,34.66559278821641,911.2201793459374
2611.115,8,0.861,15,30,9.0,38.4774440285364,70.47833267207261
,8,0.861,15,30,9.0,38.36868220739614,70.47833267207261
2611.115,8,0.861,15,29,9.0,35.822516046259835,70.47833267207261
2611.115,8,0.861,15,30,9.0,34.748953179588774,70.47833267207261
9843.8675,2,0.615,7,11,8.0,41.459017527247966,226.8927919215432
9843.8675,2,0.615,7,11,8.0,29.17639210554691,226.8927919215432
,2,0.615,7,11,8.0,28.993921534588523,226.8927919215432
9843.8675,2,0.615,7,11,8.0,34.997379089239644,226.8927919215432
2825.233333333333,1,0.738,12,3,5.0,40.6331311728521,46.61612907334207
2825.233333333333,1,0.738,12,2,5.0,33.85409635172327,46.61612907334207
2825.233333333333,1,0.738,12,6,5.0,25.682270565172377,46.61612907334207
,1,0.738,12,1,5.0,40.30423113590268,46.61612907334207
2948.605833333333,5,0.615,20,16,8.0,27.983092917100603,65.00817428651536
,5,0.615,20,16,,36.77820877359976,65.00817428651536
2948.605833333333,5,0.615,20,11,8.0,34.921444296737555,65.00817428651536
2948.605833333333,5,0.615,20,16,8.0,38.585671611566745,65.00817428651536
7266.686666666667,3,0.738,1,4,3.0,36.014898020122665,135.17337097171767
7266.686666666667,3,0.738,1,4,3.0,26.679686642917765,135.17337097171767
7266.686666666667,3,0.738,5163,-1,5.0,38.84765926260825,135.17337097171767
,3,0.738,1766,5,5.0,40.8538943729154,135.17337097171767
4766.68,6,0.492,14,10,7.0,33.50246118473791,124.39208242092045
4766.68,6,0.492,14,10,7.0,34.02279546061346,124.39208242092045
,6,0.492,14,10,7.0,34.09022302574172,124.39208242092045
,6,0.492,14,10,7.0,27.442239288690807,124.39208242092045
519.12875,6,0.615,32,24,9.0,38.4848522223348,36.54819717138717
519.12875,6,0.615,32,23,9.0,25.380714318086728,36.54819717138717
,6,0.615,32,23,9.0,35.78719142637542,36.54819717138717
519.12875,6,0.615,32,23,9.0,29.598239237073788,36.54819717138717
2415.855,8,0.861,14,12,5.0,25.981289606756494,101.3286373638512
2415.855,8,0.861,14,16,7.0,38.6380786528206,101.3286373638512
2415.855,8,0.861,14,16,7.0,35.50770674538489,101.3286373638512
2415.855,8,0.861,14,16,7.0,38.485249511178864,101.3286373638512
2942.148333333333,6,0.738,3097,8,1.0,37.190189832300256,45.14129822463578
2942.148333333333,163,0.738,7,8,1.0,27.11284513413262,45.14129822463578
2942.148333333333,6,0.738,7,8,1.0,27.958937719052376,45.14129822463578
2942.148333333333,6,0.738,7,8,1.0,27.64032332825704,45.14129822463578
7591.59,6,0.861,16,11,4.0,39.36824989043439,0.0
,6,0.861,16,16,4.0,34.659087165430755,0.0
7591.59,6,0.861,16,18,,37.481643451694175,0.0
7591.59,6,0.861,16,16,4.0,34.311355954864176,0.0
2749.762492341615,6,0.861,17,9,10.0,28.86135378675188,251.66006801375065
2749.762492341615,6,0.861,17,11,10.0,38.28446335238851,251.66006801375065
2749.762492341615,6,0.861,17,11,10.0,28.973150435595823,251.66006801375065
2749.762492341615,6,0.861,17,11,10.0,23.372765382553936,251.66006801375065
7449.469346853578,6,0.738,12,18,1.0,32.450557797263954,629.8156531464217
7449.469346853578,6,0.738,12,18,1.0,32.48447662528514,629.8156531464217
7449.469346853578,6,0.738,12,18,3.0,36.427252232568016,629.8156531464217
,6,0.738,12,17,3.0,31.517911959036194,629.8156531464217
1512.361666666667,6,0.861,17,51,8.0,34.47884913064688,49.57206224445275
1512.361666666667,6,0.861,17,51,8.0,26.68283886166338,49.57206224445275
1512.361666666667,6,0.861,17,51,8.0,37.36390440294918,49.57206224445275
1512.361666666667,6,0.861,17,51,8.0,39.26219288864508,49.57206224445275
1828.24,7,0.615,17,34,4.0,25.652528186320787,0.0
1828.24,7,0.615,17,30,4.0,27.22256252865838,0.0
1828.24,7,0.615,17,30,4.0,36.37300146428006,0.0
1828.24,7,0.615,17,32,4.0,39.37948427005254,0.0
1074.5845833333333,7,0.615,17,45,8.0,34.70806380040905,37.58807283812568
1074.5845833333333,7,0.615,17,48,8.0,35.682262655668886,37.58807283812568
1074.5845833333333,7,0.615,17,48,8.0,23.679725156723148,37.58807283812568
1074.5845833333333,7,0.615,17,48,8.0,33.72430069146658,37.58807283812568
8873.4275,4,0.492,1,3,1.0,29.671456705130176,0.0
8873.4275,4,0.492,1,4,1.0,41.37668565581181,0.0
8873.4275,4,0.492,1,5,1.0,27.22618109607017,0.0
8873.4275,4,0.492,1,5,1.0,32.45739644866129,0.0
782.0370833333334,5,0.615,10,25,11.0,33.64942832302815,26.060347529205966
782.0370833333334,936,0.615,10,25,11.0,39.38484763433654,26.060347529205966
782.0370833333334,5,0.615,10,25,11.0,27.54275808476485,26.060347529205966
782.0370833333334,5,0.615,10,25,11.0,30.54258247173229,26.060347529205966
4720.926666666667,9,0.984,31,49,17.0,36.79142054149701,200.43261339470683
4720.926666666667,9,0.984,31,43,17.0,26.58320920040252,200.43261339470683
,9,0.984,31,50,17.0,35.31638467149612,200.43261339470683
4720.926666666667,9,0.984,31,48,17.0,35.581887735238425,200.43261339470683
1999.3075,8,0.738,14,22,3.0,38.95299631544785,42.22199265643221
1999.3075,8,0.738,14,22,1905.0,34.664583629745366,42.22199265643221
1999.3075,8,0.738,14,22,3.0,26.54850967751556,42.22199265643221
1999.3075,8,0.738,14,22,5.0,35.33001552852757,42.22199265643221
2697.51,9,0.984,25,49,13.0,38.94266783614944,185.1119825795006
2697.51,9,0.984,25,55,13.0,27.69956439753498,185.1119825795006
2697.51,9,0.984,25,52,13.0,34.77166896023211,185.1119825795006
2697.51,9,0.984,25,52,13.0,24.08827489180331,185.1119825795006
3622.186666666666,3,0.369,18,16,8.0,41.08715772326562,30.57608482316153
3622.186666666666,3,0.369,18,10,8.0,31.73880499861239,30.57608482316153
3622.186666666666,3,0.369,18,6,8.0,27.548973092343964,30.57608482316153
3622.186666666666,3,0.369,18,11,8.0,31.553922400187425,30.57608482316153
2210.0325,6,0.369,15,25,2.0,32.23063700006014,69.60292048199007
2210.0325,6,0.369,15,25,2.0,28.418396913534227,69.60292048199007
2210.0325,6,0.369,15,25,2.0,25.940774434275117,69.60292048199007
2210.0325,6,0.369,15,25,2.0,31.909035592946104,69.60292048199007
3007.461666666666,10,25.953,25,61,8.0,32.77593660463945,172.38252735862687
3007.461666666666,10,0.984,25,61,8.0,37.55424655900936,50770.0
3007.461666666666,10,0.984,25,59,8.0,37.69152029864392,172.38252735862687
3007.461666666666,10,0.984,25,60,8.0,24.749140589266087,172.38252735862687
1684.168333333333,1,0.615,1,4,4.0,39.39690775223124,29.534583720496048
1684.168333333333,1,0.615,1,5,4.0,30.419567349784646,29.534583720496048
1684.168333333333,1,0.615,1,5,4.0,40.296580610984286,29.534583720496048
,1,0.615,1,5,5.0,35.4911742665814,29.534583720496048
1387.303333333333,7,0.861,19,30,7.0,34.00360165938601,65.13948777561222
1387.303333333333,7,0.861,19,31,7.0,35.04720315072672,65.13948777561222
1387.303333333333,7,0.861,19,31,7.0,34.78982153993944,65.13948777561222
1387.303333333333,7,0.861,19,27,7.0,35.18986915573552,65.13948777561222
959.22875,4,0.369,10,27,7.0,25.77541495147188,16.719300227776053
959.22875,4,0.369,10,30,7.0,26.415502246528455,16.719300227776053
959.22875,4,0.369,10,30,,26.21611525731064,16.719300227776053
959.22875,4,0.369,10,30,7.0,27.34509835554881,16.719300227776053
4664.75,8,0.615,9,18,10.0,36.34203464170722,149.89719942100822
4664.75,8,0.615,9,18,10.0,26.88547843088873,149.89719942100822
4664.75,8,0.615,9,15,10.0,27.66897220867021,149.89719942100822
4664.75,8,0.615,9,18,10.0,22.597463289557474,149.89719942100822
3764.331666666667,2,0.861,10,4,4.0,35.31215748106678,102.7629131170904
3764.331666666667,2,0.861,10,8,4.0,28.76152739499421,102.7629131170904
3764.331666666667,2,0.861,10,4,6.0,27.66955811834077,102.7629131170904
3764.331666666667,2,0.861,10,4,6.0,36.578239192701815,102.7629131170904
5799.45,3,0.738,15,8,0.0,23.808046098437945,53.92351397165268
